"path","prompt"
"midjourney_0068.png","tram, interesting shapes, sunny day, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0070.png","futuristic elegent tram with beige interior and large window"
"midjourney_0071.png","tram, modern, soft shapes, people with disability"
"midjourney_0072.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0078.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0087.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0092.png","tram, modern, soft shapes, people with disability"
"midjourney_0095.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0096.png","tram interior minimalist modern light white led clean aesthetic"
"midjourney_0100.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0101.png","middle of the tram, oval shapes, metal, future"
"midjourney_0103.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0109.png","tram interior cozy white pop of colour lights"
"midjourney_0110.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0116.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0119.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0123.png","middle of the tram, oval shapes, metal, future"
"midjourney_0128.png","tram interior design with light modern led organic"
"midjourney_0129.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0130.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0131.png","minimalist modern retro tram interior"
"midjourney_0141.png","tram modern minimalistic window space metal natral light comfortable seats"
"midjourney_0145.png","metro, interor, tram, future, modern, intelegent, futuristic, light"
"midjourney_0150.png","tram, window, exterior, modent, future"
"midjourney_0156.png","tram, interior design, organic shapes, ecology"
"midjourney_0162.png","metro train interior organic branches form"
"midjourney_0163.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0166.png","tram pink glass window futuristic design cosmic"
"midjourney_0169.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0170.png","tram, modern style, big windows,"
"midjourney_0172.png","metro, interor, tram, future, modern, intelegent, futuristic, light"
"midjourney_0173.png","tram, interesting shapes, sunny day, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0174.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0177.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0179.png","interior, tram, abstract, modern, classy, geometrical, liquid, blue, elegant, aesthetic, vibe, fluffy"
"midjourney_0180.png","tram, ergoomic, interior, spacious, comfortable, with wood, aesthetic, cozy, environmentlly friendly"
"midjourney_0183.png","tram, organic shapes, nature, modern"
"midjourney_0186.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0187.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0189.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0192.png","tram, spacious, modern technology, innovative, aesthetic, futuristic, interior, exterior, smart, elegant"
"midjourney_0194.png","tram pink round"
"midjourney_0195.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0202.png","tram, spacious, modern technology, innovative, aesthetic, futuristic, interior, exterior, smart, elegant"
"midjourney_0203.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0204.png","train interior organic tree branches form and lighting"
"midjourney_0205.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0208.png","tram metro interior modern comfortable white led irregular seats organic shapes in the middle"
"midjourney_0215.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0218.png","tram, space, oval shapes, blue, pink, purple, future, metal, cosmos"
"midjourney_0220.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0222.png","tram light modern interior led organic"
"midjourney_0225.png","tram, led, comfortable seats, high end, modern"
"midjourney_0227.png","long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0236.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0244.png","tram, interesting shapes, sunny day, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0250.png","tram, organic shapes, nature, modern"
"midjourney_0251.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0252.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0255.png","tram interior minimalist modern light white led clean aesthetic"
"midjourney_0256.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0260.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0265.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0269.png","tram, interior, modern, colourful,"
"midjourney_0271.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0272.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0275.png","uturistic seats, long tape lights, led, waves, bus, tram, car"
"midjourney_0278.png","tram, interesting shapes, sunny day, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0279.png","futuristic elegant beige tram with neons and large window"
"midjourney_0280.png","tram, fast, future, streamlined, light, organic structure, seats"
"midjourney_0281.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0284.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0286.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0291.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0299.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0304.png","tram, organic shapes, nature, modern"
"midjourney_0307.png","modern, long seats, tape seats, connection, irregular shapes, capsule, tram"
"midjourney_0310.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0314.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0318.png","futuristic elegent tram with beige interior and large window"
"midjourney_0323.png","metro train interior organic branches form"
"midjourney_0326.png","futuristic elegant beige tram interior with neons and large round window"
"midjourney_0327.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0330.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0331.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0332.png","tram, ergoomic, interior, spacious, comfortable, with wood, aesthetic, cozy, environmentlly friendly"
"midjourney_0333.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0337.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0340.png","tram interior goth minimalistic black"
"midjourney_0342.png","white tram interior modern clean easy big windows cushioned seats"
"midjourney_0344.png","metro train interior organic branches form"
"midjourney_0346.png","futuristic elegant beige tram with neons and large window"
"midjourney_0348.png","uturistic elegant beige tram interior with neons and large round window"
"midjourney_0349.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0350.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0351.png","tram metro interior modern comfortable white led irregular seats organic shapes in the middle"
"midjourney_0355.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0356.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0357.png","middle of the tram, oval shapes, metal, future"
"midjourney_0358.png","tram, futuristic, colorful, joy, young, people, led, sunshine, widewindow"
"midjourney_0364.png","tram interior modern cosmic abstract spaceship"
"midjourney_0365.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0367.png","futuristic elegent tram with beige interior and large window"
"midjourney_0371.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0372.png","tram interior coloured glass windows minimalist seats white colour aesthetic"
"midjourney_0373.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0375.png","long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0377.png","tram modern minimalistic window space metal natral light comfortable seats"
"midjourney_0379.png","tram, window, exterior, modent, future"
"midjourney_0382.png","tram, modern, retro, led, future"
"midjourney_0384.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0385.png","tram, metro, interior, future, modern"
"midjourney_0388.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0390.png","tram, interior, modern, colourful,"
"midjourney_0392.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0393.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0399.png","futuristic seats, long tape lights, led, waves, bus, tram, car"
"midjourney_0401.png","tram, window, exterior, modent, future"
"midjourney_0404.png","tram, interior design, organic shapes, ecology"
"midjourney_0406.png","tram, bike place, interior design,"
"midjourney_0410.png","futuristic elegent tram with beige interior and large window"
"midjourney_0411.png","middle of the tram, oval shapes, metal, future"
"midjourney_0415.png","interior, tram, abstract, modern, classy, geometrical, liquid, blue, elegant, aesthetic, vibe, fluffy"
"midjourney_0419.png","white tram interior modern clean easy big windows cushioned seats"
"midjourney_0424.png","e tram, modern, glass, interior, led light"
"midjourney_0427.png","tram, window, exterior, modent, future"
"midjourney_0428.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0429.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0434.png","tram metro interior modern comfortable white led irregular seats organic shapes"
"midjourney_0437.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0438.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0439.png","tram metro interior modern comfortable white led irregular seats organic shapes"
"midjourney_0443.png","tram interior white design coloured seats plastic"
"midjourney_0444.png","tram"
"midjourney_0447.png","tram, metro, interior, future, modern"
"midjourney_0448.png","tram, ergoomic, interior, spacious, comfortable, with wood, aesthetic, cozy, environmentlly friendly"
"midjourney_0452.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0453.png","metro, form of window, future, tram,"
"midjourney_0455.png","tram, interior design, organic shapes, ecology"
"midjourney_0456.png","tram, interior design, organic shapes, ecology"
"midjourney_0459.png","tram interior design with light modern led organic"
"midjourney_0467.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0468.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0474.png","metro train interior organic branches form"
"midjourney_0482.png","tram, metro, interior, future, modern"
"midjourney_0485.png","e tram, modern, glass, interior, led light"
"midjourney_0486.png","tram interior modern cosmic abstract spaceship"
"midjourney_0487.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0488.png","middle of the tram, oval shapes, metal, future"
"midjourney_0490.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0492.png","tram modern colorful windows high design"
"midjourney_0495.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0496.png","tram, interior design, organic shapes, ecology"
"midjourney_0502.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0507.png","tram interior modern cosmic abstract spaceship"
"midjourney_0508.png","tram modern minimalistic window space metal natral light comfortable seats"
"midjourney_0509.png","interior, tram, abstract, modern, classy, geometrical, liquid, blue, elegant, aesthetic, vibe, fluffy"
"midjourney_0516.png","tram, modern tram, nice view, interesting lighting, white colour, clean design, place for seats, avaibility, luggage, dog"
"midjourney_0520.png","tram retro interior with colorful window metal blue and red irregular seats irregular window"
"midjourney_0522.png","tram pink glass window futuristic design cosmic"
"midjourney_0528.png","tram, spacious, modern technology, innovative, aesthetic, futuristic, interior, exterior, smart, elegant"
"midjourney_0530.png","futuristic elegent tram with beige interior and large window"
"midjourney_0534.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0535.png","tram, ergoomic, interior, spacious, comfortable, with wood, aesthetic, cozy, environmentlly friendly"
"midjourney_0536.png","futuristic seats, long tape lights, led, waves, bus, tram, car"
"midjourney_0538.png","tram, high, design, abstract, forms, geometrical, chrome, elegant, vibe"
"midjourney_0539.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0540.png","tram interior minimalist modern light white led clean aesthetic"
"midjourney_0542.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0543.png","tram, fast, future, streamlined, light, organic structure, seats"
"midjourney_0544.png","tram, modern, retro, led, future"
"midjourney_0554.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0555.png","tram light modern interior led organic"
"midjourney_0558.png","tram metro interior modern comfortable white led irregular seats organic shapes in the middle"
"midjourney_0563.png","tram interior design with light modern led organic"
"midjourney_0572.png","middle of the tram, oval shapes, metal, future"
"midjourney_0576.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0577.png","futuristic elegant beige tram with neons and large window"
"midjourney_0578.png","train interior organic tree branches and roots form"
"midjourney_0581.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0583.png","tram, exterior, smart, elegant, colorful, ergonomic, place for bike"
"midjourney_0586.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0587.png","e tram, modern, glass, interior, led light"
"midjourney_0588.png","futuristic elegent tram with beige interior and large window"
"midjourney_0589.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0591.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0594.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0596.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0597.png","futuristic elegent tram with beige interior and large window"
"midjourney_0598.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0601.png","tram interior coloured glass windows minimalist seats white colour aesthetic"
"midjourney_0604.png","tram, modern, retro, led, future"
"midjourney_0606.png","tram, interior, coloured glass, monochrome upholstery, minimalistic, modern, calm, aesthetic"
"midjourney_0610.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0615.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0618.png","tram modern minimalistic window space metal natral light comfortable seats"
"midjourney_0620.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0621.png","tram light modern interior led organic"
"midjourney_0624.png","futuristic elegant beige tram with neons and large window"
"midjourney_0626.png","futuristic elegent tram with beige interior and large window"
"midjourney_0627.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0634.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0635.png","tram interior 80s style modern minimlaist chrome plastic metal white"
"midjourney_0637.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0641.png","uturistic seats, long tape lights, led, waves, bus, tram, car"
"midjourney_0643.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0646.png","long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0650.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0654.png","futuristic elegant beige tram with neons and large window"
"midjourney_0655.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0658.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0669.png","futuristic elegant beige tram with neons and large window"
"midjourney_0670.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0676.png","futuristic elegent tram with beige interior and large window"
"midjourney_0677.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0678.png","tram, elegant, neon, beige"
"midjourney_0682.png","tram, space, oval shapes, blue, pink, purple, future, metal, cosmos"
"midjourney_0684.png","metro, form of window, future, tram,"
"midjourney_0686.png","metro, interor, tram, future, modern, intelegent, futuristic, light"
"midjourney_0689.png","tram, organic shapes, nature, modern"
"midjourney_0690.png","interior tram cozy modern minimalist pop of colour nice"
"midjourney_0691.png","tram, metro, interior, future, modern"
"midjourney_0694.png","uturistic elegant beige tram interior with neons and large round window"
"midjourney_0695.png","tram, interior, light, usefull, modern, japan"
"midjourney_0704.png","futuristic elegent tram with beige interior and large window"
"midjourney_0705.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0706.png","tram interior design with light modern led organic"
"midjourney_0711.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0715.png","futuristic elegant beige tram interior with neons and large round window"
"midjourney_0716.png","tram pink glass window futuristic design cosmic"
"midjourney_0717.png","tram, metro, interior, future, modern"
"midjourney_0719.png","tram light modern interior led organic"
"midjourney_0722.png","tram interior 80s style modern minimlaist chrome plastic metal white"
"midjourney_0726.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0728.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0729.png","tram interior white design coloured seats plastic"
"midjourney_0730.png","metro train interior organic branches form"
"midjourney_0731.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0735.png","tram interior modern organic lighting"
"midjourney_0739.png","tram, spacious, modern technology, innovative, aesthetic, futuristic, interior, exterior, smart, elegant"
"midjourney_0741.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0743.png","futuristic seats, long tape lights, led, waves, bus, tram, car"
"midjourney_0744.png","futuristic elegant beige tram with neons and large round window"
"midjourney_0748.png","long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0750.png","metro, interor, tram, future, modern, intelegent, futuristic, light"
"midjourney_0756.png","tram"
"midjourney_0757.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0760.png","tram, interior design, organic shapes, ecology"
"midjourney_0762.png","white tram interior modern clean easy big windows cushioned seats"
"midjourney_0764.png","interior, tram, high, design, abstract, forms, geometrical, chrome, elegant, silver, vibe, aesthetic"
"midjourney_0765.png","futuristic elegent tram with beige interior and large window"
"midjourney_0767.png","futuristic, seats, module, cosmos, space, drain, round, tram, transport"
"midjourney_0769.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0770.png","futuristic elegent tram with beige interior and large window"
"midjourney_0772.png","metro, interor, tram, future, modern, intelegent, futuristic, light"
"midjourney_0775.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0779.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0780.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0783.png","futuristic, seats, module, cosmos, space, drain, round, tram, transport"
"midjourney_0788.png","tram, interior design, organic shapes, ecology"
"midjourney_0789.png","tram interior cozy white pop of colour lights"
"midjourney_0791.png","tram design futuristic abstract interior"
"midjourney_0792.png","tram interior modern cosmic abstract spaceship"
"midjourney_0795.png","classic metro design train old"
"midjourney_0800.png","tram interior 80s style modern minimlaist chrome plastic metal white"
"midjourney_0804.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0805.png","futuristic elegant beige tram interior with neons and large round window"
"midjourney_0806.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0808.png","tram, fast, future, streamlined, light, organic structure, seats"
"midjourney_0810.png","window, form, furure, modern"
"midjourney_0812.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0815.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0816.png","tram interior modern organic lighting"
"midjourney_0817.png","interior, tram, abstract, modern, classy, geometrical, liquid, blue, elegant, aesthetic, vibe, fluffy"
"midjourney_0818.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0819.png","tram interior modern organic lighting"
"midjourney_0820.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0821.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0824.png","tram light modern interior led organic"
"midjourney_0825.png","futuristic elegent tram with beige interior and large window"
"midjourney_0829.png","middle of the tram, oval shapes, metal, future"
"midjourney_0830.png","futuristic elegant beige tram with neons and large window"
"midjourney_0834.png","tram modern colorful windows high design"
"midjourney_0836.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0841.png","tram metro interior modern comfortable white led irregular seats organic shapes"
"midjourney_0842.png","tram, interior design, organic shapes, ecology"
"midjourney_0846.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0847.png","tram, elegant, neon, beige"
"midjourney_0850.png","tram, ergoomic, interior, spacious, comfortable, with wood, aesthetic, cozy, environmentlly friendly"
"midjourney_0852.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0854.png","train interior organic tree and lighting gaudi inspired"
"midjourney_0856.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0862.png","tram, interior, glass, window color, jacquemus, rectangle, circle, fashion"
"midjourney_0864.png","minimalist modern retro tram interior"
"midjourney_0865.png","tram, interior, modern, colourful,"
"midjourney_0866.png","tram, modern tram, lighting, white colour, clean design, seats, avaibility, place for bikes, place for dog, people in tram"
"midjourney_0872.png","tram interior design with light modern led organic"
"midjourney_0874.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0878.png","tram interior white design coloured seats plastic"
"midjourney_0881.png","futuristic elegant beige tram with neons and large window"
"midjourney_0882.png","interior, tram, stained glass, colorful glass, white upholstery, chrome handles, calm, aesthetics, geometrical, minimalistic"
"midjourney_0885.png","tram, metro, interior, future, modern"
"midjourney_0887.png","tram, space, oval shapes, blue, pink, purple, future, metal, cosmos"
"midjourney_0889.png","tram interior design with light modern led organic"
"midjourney_0890.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0891.png","tram interior design with light modern led organic long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
